experiment_id,parent_baseline,stage,priority,change_type,change_detail,hypothesis,metric_name,cv_mean,cv_std,best_before,delta_vs_best,runtime_minutes,status,decision,stop_rule_triggered,artifact_oof,artifact_submission,artifact_model_dir,artifact_analysis,notes
EXP-P0-001,BASE-SIMPLE-5FOLD-TE-XGB,baseline_consolidation,P0,baseline,simple_5fold_target_encoding_xgboost,Bootstrap the modular baseline before V16b consolidation.,roc_auc,0.902111,0.000598,0.0,0.902111,1.93,completed,keep,,./experiments/oof/EXP-P0-001.csv,./experiments/submissions/EXP-P0-001.csv,./models,./experiments/analysis/EXP-P0-001.txt,"fold_aucs=0.901998,0.902329,0.902488,0.902760,0.901032"
EXP-P0-002,BASE-SIMPLE-5FOLD-TE-XGB,baseline_consolidation,P0,baseline,unified_v16_smoke_2fold,Validate the migrated V16-style pipeline end to end before full strong-baseline reproduction.,roc_auc,0.918487,0.000121,0.902111,0.016376,7.63,completed,keep,,/root/aicloud-data/Kaggle_S6E3/experiments/oof/EXP-P0-002.csv,/root/aicloud-data/Kaggle_S6E3/experiments/submissions/EXP-P0-002.csv,/root/aicloud-data/Kaggle_S6E3/models,/root/aicloud-data/Kaggle_S6E3/experiments/analysis/EXP-P0-002.txt,"profile=unified_v16;fold_aucs=0.918617,0.918375"
EXP-P0-003,EXP-P0-002,baseline_consolidation,P0,baseline,unified_v16_full_10fold_gpu,Reproduce the strong unified V16-style baseline with full fold settings on GPU.,roc_auc,0.91917,0.001155,0.918487,0.000683,7.93,completed,keep,,/root/aicloud-data/Kaggle_S6E3/experiments/oof/EXP-P0-003.csv,/root/aicloud-data/Kaggle_S6E3/experiments/submissions/EXP-P0-003.csv,/root/aicloud-data/Kaggle_S6E3/models,/root/aicloud-data/Kaggle_S6E3/experiments/analysis/EXP-P0-003.txt,"profile=unified_v16;fold_aucs=0.919504,0.918540,0.920919,0.918626,0.918898,0.919250,0.921080,0.919567,0.918486,0.916905"
EXP-P1-001,EXP-P0-003,feature_batch,P1,feature_toggle,disable_distribution_features,Distribution features may be redundant once the unified strong baseline is rebuilt.,roc_auc,0.919039,0.00113,0.91917,-0.000131,7.57,completed,drop,min_gain_not_met,/root/aicloud-data/Kaggle_S6E3/experiments/oof/EXP-P1-001.csv,/root/aicloud-data/Kaggle_S6E3/experiments/submissions/EXP-P1-001.csv,/root/aicloud-data/Kaggle_S6E3/models,/root/aicloud-data/Kaggle_S6E3/experiments/analysis/EXP-P1-001.txt,"profile=unified_v16;fold_aucs=0.919380,0.918485,0.920774,0.918489,0.918744,0.919136,0.920885,0.919395,0.918359,0.916816"
EXP-P1-002,EXP-P0-003,feature_batch,P1,feature_toggle,disable_ngram_te,N-gram target encoding likely carries a large part of categorical interaction signal.,roc_auc,0.919205,0.001166,0.91917,3.5e-05,7.55,completed,drop,min_gain_not_met,/root/aicloud-data/Kaggle_S6E3/experiments/oof/EXP-P1-002.csv,/root/aicloud-data/Kaggle_S6E3/experiments/submissions/EXP-P1-002.csv,/root/aicloud-data/Kaggle_S6E3/models,/root/aicloud-data/Kaggle_S6E3/experiments/analysis/EXP-P1-002.txt,"profile=unified_v16;fold_aucs=0.919556,0.918507,0.920973,0.918674,0.918951,0.919333,0.921142,0.919558,0.918481,0.916946"
EXP-P1-003,EXP-P0-003,feature_batch,P1,feature_toggle,disable_orig_probability_mapping,ORIG probability mapping may be one of the highest-value low-cost feature groups.,roc_auc,0.91914,0.001198,0.91917,-3e-05,7.66,completed,drop,min_gain_not_met,/root/aicloud-data/Kaggle_S6E3/experiments/oof/EXP-P1-003.csv,/root/aicloud-data/Kaggle_S6E3/experiments/submissions/EXP-P1-003.csv,/root/aicloud-data/Kaggle_S6E3/models,/root/aicloud-data/Kaggle_S6E3/experiments/analysis/EXP-P1-003.txt,"profile=unified_v16;fold_aucs=0.919469,0.918361,0.920971,0.918624,0.918881,0.919261,0.921098,0.919570,0.918473,0.916800"
EXP-P2-001,EXP-P0-003,parameter_search,P2,params,max_depth_6,A slightly deeper tree may recover a small amount of higher-order interaction signal missed at depth 5.,roc_auc,0.919167,0.001175,0.91917,-3e-06,33.19,completed,drop,min_gain_not_met,/root/aicloud-data/Kaggle_S6E3/experiments/oof/EXP-P2-001.csv,/root/aicloud-data/Kaggle_S6E3/experiments/submissions/EXP-P2-001.csv,/root/aicloud-data/Kaggle_S6E3/models,/root/aicloud-data/Kaggle_S6E3/experiments/analysis/EXP-P2-001.txt,"profile=unified_v16;fold_aucs=0.919471,0.918512,0.920957,0.918642,0.918891,0.919254,0.921121,0.919575,0.918443,0.916883"
EXP-P2-002,EXP-P0-003,parameter_search,P2,params,min_child_weight_5,Relaxing min_child_weight may let trees fit a few additional useful local splits without changing overall bias too much.,roc_auc,0.919178,0.001165,0.91917,8e-06,45.18,completed,drop,min_gain_not_met,/root/aicloud-data/Kaggle_S6E3/experiments/oof/EXP-P2-002.csv,/root/aicloud-data/Kaggle_S6E3/experiments/submissions/EXP-P2-002.csv,/root/aicloud-data/Kaggle_S6E3/models,/root/aicloud-data/Kaggle_S6E3/experiments/analysis/EXP-P2-002.txt,"profile=unified_v16;fold_aucs=0.919494,0.918538,0.920936,0.918627,0.918857,0.919249,0.921123,0.919607,0.918509,0.916908"
EXP-P2-003,EXP-P0-003,parameter_search,P2,params,colsample_bytree_0_36,A slightly larger feature subsample per tree may help the model exploit the expanded engineered feature set more consistently.,roc_auc,0.919159,0.001153,0.91917,-1.1e-05,41.82,completed,drop,min_gain_not_met,/root/aicloud-data/Kaggle_S6E3/experiments/oof/EXP-P2-003.csv,/root/aicloud-data/Kaggle_S6E3/experiments/submissions/EXP-P2-003.csv,/root/aicloud-data/Kaggle_S6E3/models,/root/aicloud-data/Kaggle_S6E3/experiments/analysis/EXP-P2-003.txt,"profile=unified_v16;fold_aucs=0.919454,0.918502,0.920898,0.918620,0.918884,0.919256,0.921081,0.919571,0.918481,0.916911"
EXP-P3-001,EXP-P0-003,architecture_innovation,P3,architecture,two_stage_ridge_xgb,Ridge linear predictions as additional feature provide orthogonal linear signal that XGB trees cannot efficiently reconstruct.,roc_auc,0.91921,0.001168,0.91917,4e-05,14.83,completed,drop,min_gain_not_met,/root/aicloud-data/Kaggle_S6E3/experiments/oof/EXP-P3-001.csv,/root/aicloud-data/Kaggle_S6E3/experiments/submissions/EXP-P3-001.csv,/root/aicloud-data/Kaggle_S6E3/models,/root/aicloud-data/Kaggle_S6E3/experiments/analysis/EXP-P3-001.txt,"profile=unified_v16+ridge;fold_aucs=0.919541,0.918671,0.920972,0.918567,0.918883,0.919261,0.921211,0.919585,0.918515,0.916974"
EXP-P3-002,EXP-P0-003,architecture_innovation,P3,cv_strategy,20fold_cv,20-fold CV reduces variance in OOF estimates and produces more stable predictions for ensembling.,roc_auc,0.919253,0.001731,0.91917,8.3e-05,16.46,completed,drop,min_gain_not_met,/root/aicloud-data/Kaggle_S6E3/experiments/oof/EXP-P3-002.csv,/root/aicloud-data/Kaggle_S6E3/experiments/submissions/EXP-P3-002.csv,/root/aicloud-data/Kaggle_S6E3/models,/root/aicloud-data/Kaggle_S6E3/experiments/analysis/EXP-P3-002.txt,"profile=unified_v16;fold_aucs=0.920632,0.918629,0.918175,0.918970,0.923151,0.918637,0.916946,0.920667,0.918956,0.918769,0.918939,0.919920,0.921775,0.920751,0.917660,0.921593,0.919224,0.917994,0.918331,0.915567"
